number,key,name,latex,use,implemented_in,line,code,implements,symbols,transcription_note,implementation_note
1,butterworth,Butterworth response,\left|H(j\omega)\right|^{2} = \frac{1}{1 + \left(\dfrac{\omega}{\omega_c}\right)^{2n}},Preprocessing,src/preprocessing/filters.py,318,magnitude = 1.0 / np.sqrt(1.0 + transformed ** (2 * order)),butterworth_bandpass_magnitude,"H(j\omega) = frequency response of the filter; \omega = angular frequency, in radians per second; \omega_c = cut-off angular frequency; n = filter order",,"The equation is the low-pass prototype. The implemented filter is a band-pass, reached by the substitution W = (w^2 - w0^2) / (w BW) with w0^2 = w1 w2 and BW = w2 - w1, after bilinear prewarping of every frequency; the reference function reproduces scipy's sosfreqz of the designed filter. The filter is run forward and backward, so the applied magnitude is the square of this response."
2,zscore,Z-score,z = \frac{x - \mu}{\sigma},Signal normalization,src/preprocessing/normalize.py,161,"return ((samples - samples.mean()) / std).astype(np.float32), False",zscore_normalize,x = a sample of the signal; \mu = mean of the signal; \sigma = standard deviation of the signal,,
3,energy,Energy,E = \sum_{n} x[n]^{2},Time-domain feature,src/feature_extraction/time_domain.py,366,energy = float(np.sum(signal**2)),energy,E = total signal energy; x[n] = the n-th sample,,"Computed on the z-normalized signal, where it equals the number of samples; the time-domain feature time_energy is therefore duration x sampling rate."
4,rms,RMS,\mathrm{RMS} = \sqrt{\frac{1}{N}\sum_{n} x[n]^{2}},Effective amplitude,src/feature_extraction/time_domain.py,367,rms = float(np.sqrt(energy / signal.size)),rms,N = number of samples; x[n] = the n-th sample,"Section 11 prints the radical after the bracket rather than over it. Rendered as the root of the mean square, which is what the name, the use column and the implementation all describe.","Computed on the z-normalized signal, where it is identically 1 (time_rms)."
5,spectral_centroid,Spectral centroid,C = \frac{\sum_{k} f_k X_k}{\sum_{k} X_k},Spectral centre of mass,src/feature_extraction/frequency.py,327,"centroid = librosa.feature.spectral_centroid(S=magnitude, sr=fs, n_fft=n_fft)",spectral_centroid,"C = spectral centroid, in hertz; f_k = frequency of the k-th bin; X_k = magnitude of the k-th bin","Bracketed here. The blueprint's unparenthesised form reads as a sum of ratios, which is not a centre of mass.","Computed per short-time Fourier frame by librosa, with X_k the frame's magnitude spectrum, and summarised as the mean and SD over frames (freq_centroid_mean, freq_centroid_std)."
6,spectral_entropy,Spectral entropy,H_s = -\sum_{k} p_k \log p_k,Spectral irregularity,src/feature_extraction/frequency.py,166,entropy = float(-np.sum(probabilities * np.log2(probabilities))),spectral_entropy,"H_s = spectral entropy; p_k = normalized power in the k-th bin, summing to one",,"Implemented with base-2 logarithms on the Welch power spectrum and divided by log2 of the number of bins, so the feature lies in [0, 1] and is comparable between records whose spectra have different lengths."
7,soft_voting,Soft voting,P_{\text{final}}(c) = \frac{\sum_{m} w_m P_m(c)}{\sum_{m} w_m},Weighted ensemble probability,src/ensemble/soft_voting.py,114,"return np.tensordot(vector / total, stack, axes=(0, 0))",fuse_probabilities,"c = a class; m = an ensemble member: SVM, Random Forest or Gradient Boosting; w_m = the weight of member m, non-negative; P_m(c) = member m's probability for class c",,"Weights are normalised by their sum before averaging, so raw scores may be passed; M6 uses equal weights and M7 the weights chosen in-fold (ALG-11, ALG-12)."
8,prediction,Prediction,\hat{y} = \arg\max_{c} P_{\text{final}}(c),Final class,src/ensemble/soft_voting.py,854,"return classes[np.argmax(proba, axis=1)]","np.argmax(proba, axis=1)",\hat{y} = the predicted class; P_{\text{final}}(c) = the fused probability for class c,For the binary task the deployed rule is not argmax at 0.5: T50.4 selects the decision threshold inside the training fold against sensitivity and balanced accuracy. This equation describes the multiclass rule and the fixed-threshold binary reference.,"The argmax rule is the multiclass decision of SoftVotingEnsemble.predict. For the binary task the ensembles predict by a threshold chosen inside the training fold, and the deployed model predicts by argmax at the fixed 0.5 reference."
9,accuracy,Accuracy,\mathrm{Accuracy} = \frac{TP + TN}{TP + TN + FP + FN},Overall correctness,src/evaluation/metrics.py,199,"""accuracy"": float((tp + tn) / (tp + tn + fp + fn)),",binary_metrics,"TP = true positives: abnormal, predicted abnormal; TN = true negatives: normal, predicted normal; FP = false positives: normal, predicted abnormal; FN = false negatives: abnormal, predicted normal",,
10,sensitivity,Sensitivity,\mathrm{Sensitivity} = \frac{TP}{TP + FN},Abnormal-case detection,src/evaluation/metrics.py,194,"recall_score(true, pred, pos_label=positive_label, zero_division=0)",binary_metrics,TP = true positives; FN = false negatives: the abnormal cases that were missed,,
11,specificity,Specificity,\mathrm{Specificity} = \frac{TN}{TN + FP},Normal-case detection,src/evaluation/metrics.py,149,"return float(tn / denominator) if denominator else float(""nan"")",specificity_score,TN = true negatives; FP = false positives,,
12,f1,F1-score,F_1 = \frac{2PR}{P + R},Precision-recall balance,src/evaluation/metrics.py,206,"""f1"": float(f1_score(true, pred, pos_label=positive_label, zero_division=0)),",binary_metrics,"P = precision, $TP/(TP+FP)$; R = recall, which is sensitivity, $TP/(TP+FN)$",,
13,balanced_accuracy,Balanced accuracy,\mathrm{BA} = \frac{\mathrm{Sensitivity} + \mathrm{Specificity}}{2},Imbalance-aware binary metric,src/evaluation/metrics.py,200,"""balanced_accuracy"": float(np.nanmean([sensitivity, specificity])),",binary_metrics,\mathrm{BA} = balanced accuracy,,
14,macro_f1,Macro-F1,\text{Macro-}F_1 = \frac{1}{|C|}\sum_{c \in C} F_1(c),Multiclass evaluation,src/optimization/multi_objective.py,258,"kwargs: dict[str, Any] = {""average"": ""macro"", ""zero_division"": 0}",macro_f1,C = the set of classes; F_1(c) = the F1 score of class c taken as positive,,"Defined for the binary task too, where it averages the F1 of both classes -- not the positive-class F1 of equation 12."
15,objective_j,Multi-objective score,J = \alpha\left(1 - \text{Macro-}F_1\right) + \beta\left(\frac{\text{SelectedFeatures}}{138}\right) + \gamma\left(\text{NormalizedInferenceTime}\right),Optimization objective,src/optimization/multi_objective.py,323,weights.alpha * (1.0 - float(performance)),score_j,"J = the cost being minimised; \alpha, \beta, \gamma = weights on accuracy, compactness and speed; \text{SelectedFeatures} = size of the selected subset, out of 138; \text{NormalizedInferenceTime} = inference time scaled against the cost model",,"SelectedFeatures is the subset size and 138 the declared total (JWeights.n_features_total). NormalizedInferenceTime is the measured extraction cost of the feature families the subset still needs, divided by the cost of all families."
