run,model_id,predictor,target,test,n,n_description,rho,p_value,interpretation_note
EXP-C2,M3,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.027699502386204528,0.11940591343943782,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M3,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.033677879507398895,0.0582845630292879,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M3,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.004904134206568811,0.7828090314839051,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M3,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.035669833901859925,0.04489688676151465,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M4,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.07466093324619469,2.6396611214568127e-05,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M4,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.039770796800818436,0.025326982626954483,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M4,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.10558232049160016,2.659191252441231e-09,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M4,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.045889277996794826,0.009858032052731891,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M5,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.03801822495966836,0.03253658614409129,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M5,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.036853133905057796,0.0382470223050171,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M5,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.07428864675383275,2.8959073714921308e-05,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M5,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.04043350697164704,0.022985585876290272,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M6,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.02301201040501756,0.19578175126851233,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M6,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.024020093114711448,0.1769035613167348,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M6,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.02024276741299963,0.2551409383154563,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M6,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.03350724759498882,0.05957143114058178,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M7,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.02301201040501756,0.19578175126851233,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M7,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.024020093114711448,0.1769035613167348,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M7,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.02024276741299963,0.2551409383154563,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C2,M7,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.03350724759498882,0.05957143114058178,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M3,annotated_fraction,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.05555549549806517,0.0023111647368277382,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M3,annotated_fraction,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.052440970506977706,0.004027953898173589,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M3,n_cycles,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.0931807900414004,3.0906101906570226e-07,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M3,n_cycles,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.01038945911541495,0.5690838120722559,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M4,annotated_fraction,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.03588460965244203,0.04915315225714312,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M4,annotated_fraction,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.015432436316689698,0.3976572677906299,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M4,n_cycles,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.08100060126075846,8.728855002909776e-06,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M4,n_cycles,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",-0.0023281047665551615,0.8984733773479275,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M5,annotated_fraction,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.021374557216485537,0.24137805983727417,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M5,annotated_fraction,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.026345291268780165,0.14871558062075932,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M5,n_cycles,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.05117482961138542,0.005009312152740484,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
